user_input,reference_contexts,reference
Analytics Hub 게시자와 목록 관리자 역할의 차이점은 무엇인가요?,"사용자가 다음 작업을 수행할 수 있게 해주는 Analytics Hub 게시자 역할(roles/analyticshub.publisher)

목록 생성, 업데이트, 삭제
목록에 IAM 정책 설정
이 역할을 가진 사용자를 게시자라고 합니다.

사용자가 다음 작업을 수행할 수 있게 해주는 Analytics Hub 목록 관리자 역할(roles/analyticshub.listingAdmin)

목록 업데이트 및 삭제
목록에 IAM 정책 설정","Analytics Hub 게시자 역할은 목록을 생성, 업데이트, 삭제하고 목록에 IAM 정책을 설정할 수 있습니다. 반면, Analytics Hub 목록 관리자 역할은 목록을 업데이트 및 삭제하고 목록에 IAM 정책을 설정할 수 있지만, 목록을 생성하는 권한은 없습니다. 즉, 게시자는 목록 생성 권한이 추가로 부여된다는 점이 주요 차이점입니다."
BigQuery Studio 저장된 쿼리에 공개 액세스 권한을 방지하려면 어떻게 해야 하나요?,"BigQuery Studio 저장된 쿼리에 공개 액세스 권한이 부여되지 않도록 하려면 프로젝트에서 allAuthenticatedUsers 주 구성원을 제한합니다.

프로젝트에서 allAuthenticatedUsers를 제한하려면 iam.allowedPolicyMemberDomains 정책을 설정하고 allowed_values 목록에서 allAuthenticatedUsers를 삭제하면 됩니다.
iam.allowedPolicyMemberDomains 정책에서 allAuthenticatedUsers를 제한하면 프로젝트의 모든 IAM 정책에서 allAuthenticatedUsers 주 구성원을 사용할 수 없으므로 BigQuery Studio 저장된 쿼리를 비롯한 모든 리소스에 대한 공개 액세스 권한이 부여되지 않습니다.","BigQuery Studio 저장된 쿼리에 공개 액세스 권한을 방지하려면 프로젝트에서 allAuthenticatedUsers 주 구성원을 제한해야 합니다. 이를 위해 iam.allowedPolicyMemberDomains 정책을 설정하고 allowed_values 목록에서 allAuthenticatedUsers를 삭제하면 됩니다. 이 정책을 적용하면 프로젝트의 모든 IAM 정책에서 allAuthenticatedUsers 주 구성원을 사용할 수 없으므로, BigQuery Studio 저장된 쿼리를 비롯한 모든 리소스에 대한 공개 액세스 권한이 부여되지 않습니다."
calendarId에 primary 키워드를 사용하면 어떤 캘린더에 접근할 수 있나요?,현재 로그인한 사용자의 기본 캘린더에 액세스하려면 'primary' 키워드를 사용하세요.,calendarId에 primary 키워드를 사용하면 현재 로그인한 사용자의 기본 캘린더에 접근할 수 있습니다.
Google Drive API v3의 서비스 엔드포인트가 궁금해,"이 서비스에는 다음 서비스 엔드포인트가 포함되고, 그 아래의 모든 URI가 이 서비스 엔드포인트와 관련됩니다. https://www.googleapis.com",Google Drive API v3의 서비스 엔드포인트는 https://www.googleapis.com 입니다.
files.create 메서드의 최대 파일 크기와 허용되는 미디어 MIME 유형은 무엇인가요? ,"최대 파일 크기: 5,120GB
허용되는 미디어 MIME 유형: */*
(리터럴 */* 값 대신 유효한 MIME 유형을 지정하세요. 리터럴 */*는 유효한 MIME 유형을 업로드할 수 있음을 나타내는 데만 사용됩니다.","files.create 메서드의 최대 파일 크기는 5,120GB입니다. 허용되는 미디어 MIME 유형은 */*로, 이는 모든 유효한 MIME 유형을 업로드할 수 있음을 의미합니다. 단, 실제로는 리터럴 */* 대신 유효한 MIME 유형을 지정해야 합니다."
Firebase scrypt 해시 비밀번호를 사용한 사용자 가져오는 방법은?,"기본적으로 Firebase는 scrypt 해싱 알고리즘의 수정된 Firebase 버전을 사용하여 비밀번호를 저장합니다. 수정된 scrypt로 해싱된 비밀번호를 가져오는 것은 다른 기존 Firebase 프로젝트에서 사용자를 마이그레이션하는 데 유용합니다. 이 경우 원래 프로젝트의 내부 매개변수를 결정해야 합니다.

Firebase에서는 Firebase 프로젝트마다 고유의 비밀번호 해시 매개변수를 생성합니다. 이 매개변수에 액세스하려면 Firebase 콘솔의 사용자 탭으로 이동하고 사용자 테이블 목록의 오른쪽 상단에 있는 드롭다운에서 비밀번호 해시 매개변수를 선택합니다.

이 알고리즘의 해시 옵션을 구성하는 데 필요한 매개변수는 다음과 같습니다.

key: 일반적으로 base64로 인코딩되는 서명자 키입니다.
saltSeparator: 일반적으로 base64로 인코딩되는 솔트 구분자입니다(선택사항).
rounds: 비밀번호를 해시하는 데 사용되는 라운드 수입니다.
memoryCost: 이 알고리즘에 필요한 메모리 비용입니다.

```Python
users = [
    auth.ImportUserRecord(
        uid='some-uid',
        email='user@example.com',
        password_hash=base64.urlsafe_b64decode('password_hash'),
        password_salt=base64.urlsafe_b64decode('salt')
    ),
]

# All the parameters below can be obtained from the Firebase Console's ""Users""
# section. Base64 encoded parameters must be decoded into raw bytes.
hash_alg = auth.UserImportHash.scrypt(
    key=base64.b64decode('base64_secret'),
    salt_separator=base64.b64decode('base64_salt_separator'),
    rounds=8,
    memory_cost=14
)
try:
    result = auth.import_users(users, hash_alg=hash_alg)
    for err in result.errors:
        print('Failed to import user:', err.reason)
except exceptions.FirebaseError as error:
    print('Error importing users:', error)
```","Firebase scrypt 해시 비밀번호를 사용한 사용자를 가져오려면, 먼저 Firebase 콘솔의 사용자 탭에서 비밀번호 해시 매개변수를 확인해야 합니다. 그런 다음, 해당 매개변수(key, saltSeparator, rounds, memoryCost)를 사용하여 scrypt 해시 옵션을 구성하고, 사용자의 password_hash와 password_salt를 base64로 디코딩하여 ImportUserRecord에 입력합니다. 마지막으로, auth.import_users 함수를 사용해 사용자를 가져올 수 있습니다. 예시 코드는 아래와 같습니다.

```Python
users = [
    auth.ImportUserRecord(
        uid='some-uid',
        email='user@example.com',
        password_hash=base64.urlsafe_b64decode('password_hash'),
        password_salt=base64.urlsafe_b64decode('salt')
    ),
]

# All the parameters below can be obtained from the Firebase Console's ""Users""
# section. Base64 encoded parameters must be decoded into raw bytes.
hash_alg = auth.UserImportHash.scrypt(
    key=base64.b64decode('base64_secret'),
    salt_separator=base64.b64decode('base64_salt_separator'),
    rounds=8,
    memory_cost=14
)
try:
    result = auth.import_users(users, hash_alg=hash_alg)
    for err in result.errors:
        print('Failed to import user:', err.reason)
except exceptions.FirebaseError as error:
    print('Error importing users:', error)
```
이 과정을 통해 기존 Firebase 프로젝트에서 scrypt 해시 비밀번호를 사용한 사용자를 새로운 프로젝트로 마이그레이션할 수 있습니다."
커스텀 인증 시스템으로 Firebase에 인증하려면 어떻게 해야 하나요?,"Firebase 인증에 맞춤 인증 시스템을 통합할 수 있습니다. 사용자가 정상적으로 로그인할 때 맞춤 서명 토큰을 발행하도록 인증 서버를 수정하면 됩니다. 그러면 앱이 이 토큰을 받아 Firebase 인증에 사용합니다.

인증 서버에서 커스텀 토큰을 받은 후 다음과 같이 이 토큰을 signInWithCustomToken()에 전달하여 사용자를 로그인 처리합니다.

```
try {
    final userCredential =
        await FirebaseAuth.instance.signInWithCustomToken(token);
    print(""Sign-in successful."");
} on FirebaseAuthException catch (e) {
    switch (e.code) {
        case ""invalid-custom-token"":
            print(""The supplied token is not a Firebase custom auth token."");
            break;
        case ""custom-token-mismatch"":
            print(""The supplied token is for a different Firebase project."");
            break;
        default:
            print(""Unknown error."");
    }
}
```","커스텀 인증 시스템으로 Firebase에 인증하려면, 먼저 인증 서버에서 사용자의 로그인 인증 정보를 확인한 후 커스텀 Firebase 토큰을 생성해야 합니다. 그런 다음, 앱에서 이 토큰을 받아 signInWithCustomToken() 메서드에 전달하여 사용자를 로그인 처리할 수 있습니다. 예시 코드는 아래와 같습니다.

```
try {
    final userCredential =
        await FirebaseAuth.instance.signInWithCustomToken(token);
    print(""Sign-in successful."");
} on FirebaseAuthException catch (e) {
    switch (e.code) {
        case ""invalid-custom-token"":
            print(""The supplied token is not a Firebase custom auth token."");
            break;
        case ""custom-token-mismatch"":
            print(""The supplied token is for a different Firebase project."");
            break;
        default:
            print(""Unknown error."");
    }
}
```
이 과정을 완료하면 사용자가 Firebase에 정상적으로 인증됩니다."
"Firestore에서 맵 필드에 대한 단일 필드 색인 예외를 설정하면, 하위 필드들은 그 설정을 상속하나요?",맵 필드에 단일 필드 색인 예외를 만들면 맵의 하위 필드에서 해당 설정을 상속합니다. 그러나 특정 하위 필드에 대한 단일 필드 색인 예외를 정의할 수 있습니다.,"네, Firestore에서 맵 필드에 단일 필드 색인 예외를 만들면 맵의 하위 필드들은 해당 설정을 상속합니다. 하지만 특정 하위 필드에 대해 별도로 단일 필드 색인 예외를 정의할 수도 있습니다."
Firebase의 updateTime 필드에 사용되는 시간 형식이 뭐야?,"Uses RFC 3339, where generated output will always be Z-normalized and use 0, 3, 6 or 9 fractional digits. Offsets other than ""Z"" are also accepted. Examples: ""2014-10-02T15:01:23Z"", ""2014-10-02T15:01:23.045123456Z"" or ""2014-10-02T15:01:23+05:30"".","Firebase의 updateTime 필드에는 RFC 3339 시간 형식이 사용됩니다. 이 형식은 Z-normalized를 기본으로 하며, 0, 3, 6 또는 9자리 소수점까지 지원합니다. 또한 'Z' 이외의 오프셋도 허용됩니다."
Firefox 58 환경에서 Gmail의 AMP 렌더링 기능이 호환되나요?,"브라우저 최소 버전
Chrome 69
Edge 지원되지 않음
Firefox 58
Internet Explorer 지원되지 않음
오페라 48
Safari 10","네, Firefox 58 환경에서는 Gmail의 AMP 렌더링 기능이 호환됩니다. 문서에 따르면 Firefox 58이 Gmail의 지원되는 최소 버전이기 때문에 AMP 렌더링이 정상적으로 동작합니다."
Gmail 자가 테스트를 할 때 DKIM 또는 SPF 인증이 필요해?,DKIM 또는 SPF 인증 자체 테스트에는 여전히 필요합니다.,"네, Gmail 자가 테스트를 할 때 DKIM 또는 SPF 인증이 여전히 필요합니다."
"HTML 헤더에 스크립트 태그를 넣을 수 없을 때, 이메일 본문에 코드를 삽입하는 방법은?","이메일 구성 방식에 따라 이메일 본문의 할인/제품을 담당하는 시스템은 HTML 헤더를 처리하는 시스템과 별개입니다 (헤더에 삽입할 할인 정보를 알지 못할 수 있음). 거래 정보를 처리하는 시스템 부분에서 전체 스크립트 태그 또는 거래 <script>{""@type"": ""DiscountOffer"", …}</script>가 포함된 부분을 본문에 삽입할 수 있도록 이메일 본문에 스크립트 태그의 일부 또는 전체를 삽입하세요. <head><script>...</script></head> 대신 마이크로데이터 예는 HTML의 어느 곳에나 있을 수 있으며 다음과 같이 표시됩니다.","HTML 헤더에 스크립트 태그를 넣을 수 없는 경우, 이메일 본문에 스크립트 태그의 일부 또는 전체를 삽입할 수 있습니다. 예를 들어, 거래 정보를 처리하는 시스템 부분에서 전체 스크립트 태그 또는 거래 <script>{""@type"": ""DiscountOffer"", …}</script>가 포함된 부분을 본문에 삽입하면 됩니다. 또한, 마이크로데이터(microdata) 방식을 사용하여 <div itemscope itemtype=""http://schema.org/DiscountOffer"">와 같이 HTML의 어느 곳에나 삽입할 수도 있습니다."
OAuth에서 승인 사용자 인증 정보 만드는 방법 순서대로 알려주세요.,1. 클라이언트 만들기를 클릭합니다. 2. TV 및 입력 제한 기기 애플리케이션 유형을 선택합니다. 3. OAuth 2.0 클라이언트의 이름을 지정하고 만들기를 클릭합니다.,"OAuth에서 승인 사용자 인증 정보를 만드는 방법은 다음과 같습니다. 먼저, '클라이언트 만들기'를 클릭합니다. 다음으로, 'TV 및 입력 제한 기기 애플리케이션 유형'을 선택합니다. 마지막으로, OAuth 2.0 클라이언트의 이름을 지정하고 '만들기'를 클릭하면 완료됩니다."
Google의 계정 간 보안 서비스를 사용하는데 디코딩된 보안 이벤트 토큰의 events 클레임에는 어떤 정보가 포함되어 있나요? 그리고 디코딩된 보안 이벤트 토큰의 예시도 알려주세요.,"events 클레임에는 토큰이 나타내는 보안 이벤트에 관한 정보가 포함됩니다. 이 클레임은 이벤트 유형 식별자에서 이 이벤트와 관련된 사용자를 지정하는 subject 클레임으로, 그리고 사용 가능한 이벤트에 관한 추가 세부정보로의 매핑입니다.

디코딩된 보안 이벤트 토큰은 다음 예와 같습니다.

{
  ""iss"": ""https://accounts.google.com/"",
  ""aud"": ""123456789-abcedfgh.apps.googleusercontent.com"",
  ""iat"": 1508184845,
  ""jti"": ""756E69717565206964656E746966696572"",
  ""events"": {
    ""https://schemas.openid.net/secevent/risc/event-type/account-disabled"": {
      ""subject"": {
        ""subject_type"": ""iss-sub"",
        ""iss"": ""https://accounts.google.com/"",
        ""sub"": ""7375626A656374""
      },
      ""reason"": ""hijacking""
    }
  }
}","디코딩된 보안 이벤트 토큰의 events 클레임에는 토큰이 나타내는 보안 이벤트에 관한 정보가 포함됩니다. 이 클레임은 이벤트 유형 식별자에서 이 이벤트와 관련된 사용자를 지정하는 subject 클레임으로, 그리고 사용 가능한 이벤트에 관한 추가 세부정보로의 매핑입니다. 예를 들어, 아래와 같은 디코딩된 보안 이벤트 토큰 예시가 있습니다:

{
  ""iss"": ""https://accounts.google.com/"",
  ""aud"": ""123456789-abcedfgh.apps.googleusercontent.com"",
  ""iat"": 1508184845,
  ""jti"": ""756E69717565206964656E746966696572"",
  ""events"": {
    ""https://schemas.openid.net/secevent/risc/event-type/account-disabled"": {
      ""subject"": {
        ""subject_type"": ""iss-sub"",
        ""iss"": ""https://accounts.google.com/"",
        ""sub"": ""7375626A656374""
      },
      ""reason"": ""hijacking""
    }
  }
}"
MAP 3D 스토리텔링의 '표지'를 구성하기 위해 config.json 파일에 직접 추가할 수 있는 속성들은 무엇인가요?,"또한 구성 파일이 있는 경우 파일에 다음 섹션을 직접 추가할 수 있습니다.

1. imageUrl: 전체 스토리의 기본 미디어 파일 (이미지, GIF 또는 동영상)의 URL입니다.
스토리 전체의 기본 미디어로 사용할 이미지, GIF 또는 동영상 파일을 가리키는 공개 액세스 가능한 URL일 수 있습니다.
2. title: 전체 스토리의 제목입니다.
3. date: 스토리와 관련된 날짜 또는 기간입니다.
4. description: 스토리의 간단한 설명입니다.
5. createdBy: 스토리의 생성자 또는 작성자입니다.
6. imageCredit: 기본 이미지의 저작권 표시입니다.
7. cameraOptions: 전체 스토리의 초기 카메라 설정입니다.","MAP 3D 스토리텔링의 '표지'를 구성하기 위해 config.json 파일에 직접 추가할 수 있는 속성들은 imageUrl, title, date, description, createdBy, imageCredit, cameraOptions입니다."
"GMSMapPoint의 좌표계에서 (0, 0)은 어떤 지점을 의미하나요?","(0, 0) is the center of the map.","(0, 0)은 GMSMapPoint 좌표계에서 지도의 중심을 의미합니다."
People API의 RequestMask 필드에 무엇을 입력해야 하나요?,지원 중단된 서비스입니다.,지원 중단되었습니다. 대신 personFields를 사용해 주세요.
People API에 요청을 보내는 Python 스크립트를 어떻게 실행하고 구성해야 하는지 알려줘,"Python용 Google 클라이언트 라이브러리를 설치합니다.
pip install --upgrade google-api-python-client google-auth-httplib2 google-auth-oauthlib

작업 디렉터리에 quickstart.py이라는 파일을 만듭니다.
quickstart.py에 다음 코드를 포함합니다.

1. 작업 디렉터리에서 샘플을 빌드하고 실행합니다.
> python3 quickstart.py
2. 샘플을 처음 실행하면 액세스 권한을 승인하라는 메시지가 표시됩니다.
- 아직 Google 계정에 로그인하지 않았다면 메시지가 표시될 때 로그인합니다. 여러 계정에 로그인되어 있는 경우 승인에 사용할 계정을 하나 선택합니다.
- 수락을 클릭합니다.

Python 애플리케이션이 실행되고 People API를 호출합니다.

승인 정보는 파일 시스템에 저장되므로 다음에 샘플 코드를 실행할 때는 승인 메시지가 표시되지 않습니다.","People API에 요청을 보내는 Python 스크립트를 실행하고 구성하려면 다음 단계를 따르면 됩니다. 먼저, Python용 Google 클라이언트 라이브러리를 설치해야 합니다. 그런 다음 작업 디렉터리에 quickstart.py라는 파일을 만들고, 제공된 샘플 코드를 해당 파일에 포함시킵니다. 이후 작업 디렉터리에서 'python3 quickstart.py' 명령어로 스크립트를 실행하면 됩니다. 처음 실행 시에는 Google 계정으로 로그인하고 액세스 권한을 승인해야 하며, 승인 정보는 파일 시스템에 저장되어 이후에는 승인 메시지가 다시 표시되지 않습니다."
