index,question,reference,system_answer,accuracy,recall,specificity
0,Analytics Hub 게시자와 목록 관리자 역할의 차이점은 무엇인가요?,"Analytics Hub 게시자 역할은 목록을 생성, 업데이트, 삭제하고 목록에 IAM 정책을 설정할 수 있습니다. 반면, Analytics Hub 목록 관리자 역할은 목록을 업데이트 및 삭제하고 목록에 IAM 정책을 설정할 수 있지만, 목록을 생성하는 권한은 없습니다. 즉, 게시자는 목록 생성 권한이 추가로 부여된다는 점이 주요 차이점입니다.","**Analytics Hub 게시자 역할**은 목록을 생성, 업데이트, 삭제하고 목록에 대한 IAM 정책을 설정할 수 있는 권한을 가진 역할입니다. 즉, 게시자는 데이터 교환 내에서 새로운 목록을 만들고, 기존 목록을 관리하며, 목록에 대한 접근 권한을 제어할 수 있습니다[1][2].

반면, **Analytics Hub 목록 관리자 역할**은 목록을 업데이트 및 삭제하고 목록에 IAM 정책을 설정할 수 있지만, 목록 생성 권한은 포함하지 않습니다. 목록 관리자는 주로 기존 목록의 관리와 권한 설정에 집중하는 역할입니다[1].

요약하면 다음과 같습니다:

| 역할           | 주요 권한                                   |
|----------------|--------------------------------------------|
| 게시자         | 목록 생성, 업데이트, 삭제, IAM 정책 설정  |
| 목록 관리자    | 목록 업데이트, 삭제, IAM 정책 설정         |

게시자는 목록을 새로 만들 수 있는 권한이 추가로 있으며, 목록 관리자는 생성 권한 없이 기존 목록 관리에 집중합니다[1][2].",100,100,100
1,BigQuery Studio 저장된 쿼리에 공개 액세스 권한을 방지하려면 어떻게 해야 하나요?,"BigQuery Studio 저장된 쿼리에 공개 액세스 권한을 방지하려면 프로젝트에서 allAuthenticatedUsers 주 구성원을 제한해야 합니다. 이를 위해 iam.allowedPolicyMemberDomains 정책을 설정하고 allowed_values 목록에서 allAuthenticatedUsers를 삭제하면 됩니다. 이 정책을 적용하면 프로젝트의 모든 IAM 정책에서 allAuthenticatedUsers 주 구성원을 사용할 수 없으므로, BigQuery Studio 저장된 쿼리를 비롯한 모든 리소스에 대한 공개 액세스 권한이 부여되지 않습니다.","BigQuery Studio에서 저장된 쿼리에 공개 액세스 권한을 방지하려면 다음 단계를 따르세요:

1. **프로젝트에서 allAuthenticatedUsers 제한**:
   - 저장된 쿼리에 공개 액세스 권한이 부여되지 않도록 하려면 프로젝트에서 `allAuthenticatedUsers` 주 구성원을 제한해야 합니다. 이는 모든 인증된 사용자가 자동으로 권한을 받는 것을 방지합니다.

2. **IAM을 통한 권한 관리**:
   - Google Cloud Console에서 IAM을 사용하여 저장된 쿼리에 대한 액세스를 제어합니다. 특정 사용자나 그룹에게만 필요한 권한을 부여하여 보안을 강화할 수 있습니다[2][5].

3. **최소 권한 원칙 적용**:
   - 클라우드 최소 권한(Cloud Least Privilege) 원칙에 따라, 사용자에게 필요한 시점에 필요한 최소한의 권한만 부여합니다. 이는 보안 위험을 줄이는 데 도움이 됩니다[1][3].

4. **정기적인 모니터링**:
   - 사용자 활동과 권한을 정기적으로 모니터링하여 불필요한 권한이 부여되지 않도록 합니다[3]. 

이러한 방법을 통해 저장된 쿼리에 대한 공개 액세스를 방지하고, 보안을 강화할 수 있습니다.",70,80,70
2,calendarId에 primary 키워드를 사용하면 어떤 캘린더에 접근할 수 있나요?,calendarId에 primary 키워드를 사용하면 현재 로그인한 사용자의 기본 캘린더에 접근할 수 있습니다.,"calendarId에 **""primary""** 키워드를 사용하면, 인증된 사용자의 **기본 캘린더**에 접근할 수 있습니다. 즉, 로그인한 사용자의 주 캘린더를 가리키는 특수한 식별자입니다[1][2][3].

- Google Calendar API에서 calendarId에 ""primary""를 넣으면, 해당 사용자의 기본 캘린더 메타데이터나 이벤트를 조회, 생성, 수정할 수 있습니다.
- 별도의 캘린더 ID를 알 필요 없이 ""primary""만으로 기본 캘린더를 지정할 수 있어 편리합니다.
- 이 기능은 인증된 사용자 컨텍스트에서만 동작하며, 적절한 OAuth 권한 범위가 필요합니다[2].

따라서 ""primary""는 구글 계정에 연결된 기본 캘린더를 의미하는 예약어로 사용됩니다.",95,95,90
3,Google Drive API v3의 서비스 엔드포인트가 궁금해,Google Drive API v3의 서비스 엔드포인트는 https://www.googleapis.com 입니다.,"## Google Drive API v3 서비스 엔드포인트

Google Drive API v3의 **기본 서비스 엔드포인트**는 다음과 같습니다.

```
https://www.googleapis.com/drive/v3
```
이 엔드포인트는 모든 Google Drive API v3 요청의 기준 URL로 사용됩니다[1]. 예를 들어, 파일 목록을 조회하려면 `https://www.googleapis.com/drive/v3/files`와 같이 엔드포인트 뒤에 리소스 경로를 붙여 요청합니다[4].

## 주요 특징

- **REST 기반**: Google Drive API v3는 HTTP/JSON 기반의 REST API로 제공되며, 다양한 프로그래밍 언어용 클라이언트 라이브러리도 지원합니다[1][5].
- **리소스 경로**: 엔드포인트 뒤에 `/files`, `/permissions`, `/comments` 등 구체적인 리소스 경로를 추가해 각 기능을 사용할 수 있습니다[1].
- **인증 필요**: 모든 API 호출에는 OAuth 2.0 등 적절한 인증이 필요합니다[5].
- **Private Service Connect**: Google Cloud 환경에서는 Private Service Connect를 통해 비공개 엔드포인트를 구성할 수도 있지만, 일반적으로는 위의 공개 엔드포인트를 사용합니다[3].

## 예시: 파일 생성 요청

새 파일을 생성할 때는 다음과 같이 엔드포인트를 사용합니다.

```
POST https://www.googleapis.com/drive/v3/files
```
요청 본문에 파일명, 설명 등 필요한 정보를 포함해 전송하면, 응답으로 파일의 메타데이터(파일 ID, 이름 등)를 받을 수 있습니다[4].

## 요약

Google Drive API v3의 공식 서비스 엔드포인트는 `https://www.googleapis.com/drive/v3`이며, 이 URL을 기준으로 각종 리소스에 대한 REST 요청을 보낼 수 있습니다[1][4]. 인증이 필요하며, 클라이언트 라이브러리 사용을 권장합니다[1][5].",90,95,90
4,files.create 메서드의 최대 파일 크기와 허용되는 미디어 MIME 유형은 무엇인가요? ,"files.create 메서드의 최대 파일 크기는 5,120GB입니다. 허용되는 미디어 MIME 유형은 */*로, 이는 모든 유효한 MIME 유형을 업로드할 수 있음을 의미합니다. 단, 실제로는 리터럴 */* 대신 유효한 MIME 유형을 지정해야 합니다.","Google Drive API의 `files.create` 메서드에서 **최대 파일 크기는 5,120GB**이며, **허용되는 미디어 MIME 유형은 모든 유형(`*/*`)**입니다. 다만, `*/*`는 모든 MIME 유형을 허용한다는 의미의 리터럴 값으로, 실제로는 유효한 MIME 유형을 지정해야 합니다[1].

즉, 업로드 시 MIME 유형을 구체적으로 지정해야 하며, 예를 들어 JPEG 파일은 `""name"": ""cat.jpg""`와 같이 파일 확장자를 메타데이터에 포함시켜야 합니다. Google Drive는 확장자가 없으면 MIME 유형을 기반으로 확장자를 결정하려고 시도합니다[1].

요약하면:

| 항목           | 내용                          |
|----------------|-------------------------------|
| 최대 파일 크기 | 5,120GB                      |
| 허용 MIME 유형 | 모든 유형(`*/*`), 단 실제 MIME 유형 지정 필요 |

이 외에 MIME 유형 예시는 Google Workspace 관리자 문서에서 `image/`, `video/`, `audio/`, `text/`, `application/` 등 다양한 유형이 일반적으로 사용됨을 참고할 수 있습니다[4]. 하지만 `files.create` 메서드 자체는 MIME 유형 제한 없이 모든 유형을 지원합니다[1].",95,95,90
5,Firebase scrypt 해시 비밀번호를 사용한 사용자 가져오는 방법은?,"Firebase scrypt 해시 비밀번호를 사용한 사용자를 가져오려면, 먼저 Firebase 콘솔의 사용자 탭에서 비밀번호 해시 매개변수를 확인해야 합니다. 그런 다음, 해당 매개변수(key, saltSeparator, rounds, memoryCost)를 사용하여 scrypt 해시 옵션을 구성하고, 사용자의 password_hash와 password_salt를 base64로 디코딩하여 ImportUserRecord에 입력합니다. 마지막으로, auth.import_users 함수를 사용해 사용자를 가져올 수 있습니다. 예시 코드는 아래와 같습니다.

```Python
users = [
    auth.ImportUserRecord(
        uid='some-uid',
        email='user@example.com',
        password_hash=base64.urlsafe_b64decode('password_hash'),
        password_salt=base64.urlsafe_b64decode('salt')
    ),
]

# All the parameters below can be obtained from the Firebase Console's ""Users""
# section. Base64 encoded parameters must be decoded into raw bytes.
hash_alg = auth.UserImportHash.scrypt(
    key=base64.b64decode('base64_secret'),
    salt_separator=base64.b64decode('base64_salt_separator'),
    rounds=8,
    memory_cost=14
)
try:
    result = auth.import_users(users, hash_alg=hash_alg)
    for err in result.errors:
        print('Failed to import user:', err.reason)
except exceptions.FirebaseError as error:
    print('Error importing users:', error)
```
이 과정을 통해 기존 Firebase 프로젝트에서 scrypt 해시 비밀번호를 사용한 사용자를 새로운 프로젝트로 마이그레이션할 수 있습니다.","## Firebase scrypt 해시 비밀번호로 사용자 가져오기

Firebase Admin SDK의 **Auth.importUsers()** API를 사용하면, 기존에 scrypt 해시로 저장된 비밀번호를 가진 사용자를 Firebase Authentication에 일괄적으로 가져올 수 있습니다[1]. 이 기능은 기존 시스템에서 Firebase로 사용자 마이그레이션 시 유용합니다.

### 사전 준비

- **Firebase 프로젝트의 scrypt 해시 매개변수 확인**:  
  Firebase는 각 프로젝트마다 고유의 scrypt 해시 매개변수를 사용합니다.  
  Firebase 콘솔의 **사용자** 탭 → 오른쪽 상단 드롭다운에서 **비밀번호 해시 매개변수**를 선택하면, 아래와 같은 매개변수를 확인할 수 있습니다[1].
  - **key**: base64로 인코딩된 서명자 키
  - **saltSeparator**: base64로 인코딩된 솔트 구분자 (선택사항)
  - **rounds**: 해시 라운드 수
  - **memoryCost**: 메모리 비용

### 사용자 데이터 준비

- **사용자 정보**: 각 사용자마다 uid, email, passwordHash(바이트 버퍼), passwordSalt(바이트 버퍼) 등 필수 정보를 준비합니다.
- **해시 알고리즘 지정**: importUsers() 호출 시 hash 옵션에서 algorithm을 **SCRYPT**로 지정하고, 위에서 확인한 매개변수를 함께 전달합니다.

### 예시 (Node.js)

```js
const admin = require('firebase-admin');
admin.initializeApp();

const users = [
  {
    uid: 'user1',
    email: 'user1@example.com',
    passwordHash: Buffer.from('...'), // 원본 scrypt 해시값 (바이트 버퍼)
    passwordSalt: Buffer.from('...'), // 원본 솔트 (바이트 버퍼)
  },
  // 추가 사용자...
];

const options = {
  hash: {
    algorithm: 'SCRYPT',
    // Firebase 콘솔에서 확인한 값 입력
    key: Buffer.from('base64로_인코딩된_key', 'base64'),
    saltSeparator: Buffer.from('base64로_인코딩된_saltSeparator', 'base64'),
    rounds: 8, // 실제 값 입력
    memoryCost: 14, // 실제 값 입력
  },
};

admin.auth().importUsers(users, options)
  .then((result) => {
    console.log('성공:', result);
  })
  .catch((error) => {
    console.error('실패:', error);
  });
```
- **passwordHash**와 **passwordSalt**는 반드시 원본 데이터베이스에서 추출한 값을 그대로 사용해야 하며, Firebase의 해시 매개변수와 일치해야 정상적으로 로그인이 가능합니다[1].
- **rounds**와 **memoryCost**도 반드시 원본 시스템과 동일하게 설정해야 합니다.

### 주의사항

- **Firebase의 scrypt는 표준 scrypt와 다름**: Firebase는 표준 scrypt 알고리즘을 수정해 사용하므로, 반드시 Firebase 콘솔에서 확인한 매개변수를 사용해야 합니다[1].
- **테스트 필수**: 소규모 사용자로 먼저 테스트하여 해시값이 정상적으로 동작하는지 확인하세요.
- **CLI 사용**: Firebase CLI의 auth:import 명령어로도 파일 기반 일괄 가져오기가 가능합니다[3].

### 요약

Firebase scrypt 해시 비밀번호로 사용자를 가져오려면,  
1. **원본 시스템의 해시값과 솔트를 추출**하고,  
2. **Firebase 콘솔에서 scrypt 해시 매개변수를 확인**한 뒤,  
3. **Admin SDK의 importUsers() API**에 맞는 형식으로 데이터를 변환해 전달하면 됩니다[1].  
이 과정에서 해시 매개변수 일치가 가장 중요합니다.",90,95,90
6,커스텀 인증 시스템으로 Firebase에 인증하려면 어떻게 해야 하나요?,"커스텀 인증 시스템으로 Firebase에 인증하려면, 먼저 인증 서버에서 사용자의 로그인 인증 정보를 확인한 후 커스텀 Firebase 토큰을 생성해야 합니다. 그런 다음, 앱에서 이 토큰을 받아 signInWithCustomToken() 메서드에 전달하여 사용자를 로그인 처리할 수 있습니다. 예시 코드는 아래와 같습니다.

```
try {
    final userCredential =
        await FirebaseAuth.instance.signInWithCustomToken(token);
    print(""Sign-in successful."");
} on FirebaseAuthException catch (e) {
    switch (e.code) {
        case ""invalid-custom-token"":
            print(""The supplied token is not a Firebase custom auth token."");
            break;
        case ""custom-token-mismatch"":
            print(""The supplied token is for a different Firebase project."");
            break;
        default:
            print(""Unknown error."");
    }
}
```
이 과정을 완료하면 사용자가 Firebase에 정상적으로 인증됩니다.","커스텀 인증 시스템으로 Firebase에 인증하려면, 사용자의 로그인 인증 정보를 자체 인증 서버로 전송하여 검증한 후, 서버에서 유효한 경우 Firebase용 커스텀 토큰을 생성해 앱에 반환하고, 앱에서는 이 토큰을 `signInWithCustomToken()` 메서드에 전달하여 Firebase에 로그인 처리합니다.

구체적인 절차는 다음과 같습니다:

1. **사용자 인증 정보 수집 및 서버 전송**  
   앱에서 사용자 이름, 비밀번호 등 로그인 정보를 수집하여 자체 인증 서버로 보냅니다[1][3].

2. **서버에서 사용자 인증 및 커스텀 토큰 생성**  
   인증 서버가 사용자 정보를 검증한 후, Firebase Admin SDK를 사용해 커스텀 JWT 토큰을 생성합니다. 이 토큰은 Firebase에서 사용자를 인증하는 데 필요한 정보를 포함합니다[1][3].

3. **앱에서 커스텀 토큰으로 Firebase 로그인**  
   앱은 서버로부터 받은 커스텀 토큰을 Firebase SDK의 `signInWithCustomToken()` 함수에 전달하여 Firebase 인증을 수행합니다. 예를 들어, 웹 버전 9에서는 다음과 같이 사용합니다[1]:

   ```javascript
   import { getAuth, signInWithCustomToken } from ""firebase/auth"";
   const auth = getAuth();
   signInWithCustomToken(auth, token)
     .then((userCredential) => {
       const user = userCredential.user;
       // 로그인 성공 처리
     })
     .catch((error) => {
       const errorCode = error.code;
       const errorMessage = error.message;
       // 에러 처리
     });
   ```

4. **Firebase Admin SDK 설정**  
   커스텀 토큰 생성을 위해 Firebase 프로젝트의 서비스 계정 비공개 키를 생성하고, 서버에 설정해야 합니다[3].

이 과정을 통해 Firebase 인증 시스템과 자체 인증 시스템을 연동할 수 있으며, 필요에 따라 커스텀 클레임을 추가하거나 REST API를 활용해 확장할 수 있습니다[1].

요약하면, **자체 인증 서버에서 Firebase용 커스텀 토큰을 발급받아 앱에서 `signInWithCustomToken()`으로 로그인하는 방식**입니다. 이 방법은 Firebase가 기본 제공하지 않는 인증 방식을 사용할 때 유용합니다.",90,95,90
7,"Firestore에서 맵 필드에 대한 단일 필드 색인 예외를 설정하면, 하위 필드들은 그 설정을 상속하나요?","네, Firestore에서 맵 필드에 단일 필드 색인 예외를 만들면 맵의 하위 필드들은 해당 설정을 상속합니다. 하지만 특정 하위 필드에 대해 별도로 단일 필드 색인 예외를 정의할 수도 있습니다.","Firestore에서 **맵 필드에 단일 필드 색인 예외를 설정하면, 그 설정이 맵의 하위 필드들에 상속**됩니다. 즉, 상위 맵 필드에 예외를 지정하면 기본적으로 그 하위 필드들도 동일한 예외 설정을 따릅니다. 다만, 특정 하위 필드에 대해 별도의 단일 필드 색인 예외를 정의할 수도 있으며, 이 경우 해당 하위 필드는 상위 필드의 예외 설정 대신 자신만의 예외 설정을 따릅니다[1].

추가로, 하위 필드의 예외를 삭제하면 그 하위 필드는 다시 상위 필드의 예외 설정(존재할 경우)이나 데이터베이스 전체의 기본 자동 색인 설정을 상속하게 됩니다[1]. 

따라서, 맵 필드 단위로 예외를 설정하면 편리하게 하위 필드 전체에 적용할 수 있지만, 필요에 따라 하위 필드별로 개별 예외를 지정하거나 해제할 수 있는 유연성도 제공합니다.",95,95,90
8,Firebase의 updateTime 필드에 사용되는 시간 형식이 뭐야?,"Firebase의 updateTime 필드에는 RFC 3339 시간 형식이 사용됩니다. 이 형식은 Z-normalized를 기본으로 하며, 0, 3, 6 또는 9자리 소수점까지 지원합니다. 또한 'Z' 이외의 오프셋도 허용됩니다.","## Firebase의 updateTime 필드 시간 형식

Firebase의 **updateTime** 필드(또는 Firestore에서 Timestamp로 저장되는 필드)는 **Timestamp** 객체로 저장됩니다. 이 객체는 내부적으로 **Unix epoch(1970년 1월 1일 00:00:00 UTC) 이후의 초(_seconds)**와 **나노초(_nanoseconds)**로 시간을 표현합니다[1][4].  
예를 들어, 다음과 같은 형태로 데이터가 저장됩니다.

```json
{
  ""updateTime"": {
    ""_seconds"": 1618381810,
    ""_nanoseconds"": 792000000
  }
}
```
이 값은 **직접적으로 날짜/시간 문자열이 아니며**, JavaScript, Java, Kotlin 등에서 `.toDate()` 메서드를 사용해 Date 객체로 변환해야 일반적인 날짜/시간 형식으로 사용할 수 있습니다[2][4].

## 변환 예시

- **JavaScript**:  
  ```js
  console.log(doc.data().updateTime.toDate());
  // 출력 예: 2021-04-14T06:30:10.792Z
  ```
- **Kotlin**:  
  ```kotlin
  val updateTime = (doc[""updateTime""] as Timestamp).toDate()
  ```
- **포맷 변환**:  
  변환된 Date 객체는 moment.js, day.js, SimpleDateFormat, DateTimeFormatter 등으로 원하는 형식(예: ""YYYY-MM-DD HH:mm"")으로 포맷할 수 있습니다[2][4].

## 요약

- **저장 형식**: Unix epoch 이후 초(_seconds)와 나노초(_nanoseconds)를 가진 Timestamp 객체[1][4].
- **사용 방법**: `.toDate()`로 Date 객체로 변환 후, 필요에 따라 포맷팅[2][4].
- **직접적인 날짜 문자열이 아님**: 콘솔에서 보이는 날짜 형식은 Firestore 웹 콘솔의 UI일 뿐, 실제 데이터는 Timestamp 객체임[4].

이 형식은 Firestore의 모든 Timestamp 필드(createdAt, updatedAt 등)에 동일하게 적용됩니다.",0,0,0
9,Firefox 58 환경에서 Gmail의 AMP 렌더링 기능이 호환되나요?,"네, Firefox 58 환경에서는 Gmail의 AMP 렌더링 기능이 호환됩니다. 문서에 따르면 Firefox 58이 Gmail의 지원되는 최소 버전이기 때문에 AMP 렌더링이 정상적으로 동작합니다.","Firefox 58에서는 Gmail의 AMP 렌더링 기능이 **지원됩니다**. Google 공식 문서에 따르면, Firefox의 최소 지원 버전이 58이며, 이 버전부터 Gmail의 AMP 이메일 렌더링이 가능하다고 명시되어 있습니다[1]. 

즉, Firefox 58 환경에서는 AMP 이메일이 정상적으로 렌더링되며, 호환되지 않는 브라우저에서는 AMP 대신 HTML 이메일이 표시되는 것과 구분됩니다. 다만, AMP 렌더링을 위해서는 브라우저에서 JavaScript와 쿠키가 활성화되어 있어야 하며, 최신 보안 업데이트가 적용된 상태가 권장됩니다[2].",95,95,90
