user_input,reference_contexts,reference,synthesizer_name
Firestore에서 백업 정보를 조회하려면 어떤 권한이 필요한가요?,['Q: Firestore에서 백업 정보를 조회하기 위해 필요한 권한은 무엇인가요?\nA: Firestore에서 백업 정보를 조회하기 위해 필요한 권한은 다음과 같습니다: \n- datastore.backups.get \n- datastore.backups.list'],Firestore에서 백업 정보를 조회하기 위해서는 datastore.backups.get과 datastore.backups.list 권한이 필요합니다.,single_hop_specific_query_synthesizer
PHP Firestore add() 메서드 예시에서 Japan 값은 어떻게 사용되나요?,"[""Q: PHP에서 Firestore에 문서를 추가할 때 사용하는 add() 메서드의 예시는 무엇인가요?\nA: PHP에서 Firestore에 문서를 추가할 때 사용하는 add() 메서드의 예시는 다음과 같습니다.\n\n```php\n$data = [\n\t'name' => 'Tokyo',\n\t'country' => 'Japan'\n];\n$addedDocRef = $db->collection('samples/php/cities')->add($data);\nprintf('Added document with ID: %s' . PHP_EOL, $addedDocRef->id());\n```""]",PHP Firestore add() 메서드 예시에서 Japan 값은 country 필드의 값으로 사용됩니다.,single_hop_specific_query_synthesizer
type 필드 언제 생략대요?,"[""Q: StandardSqlField에서 'type' 필드가 생략될 수 있는 경우는 어떤 경우인가요?\nA: 'type' 필드는 명시적으로 지정되지 않은 경우에 생략될 수 있습니다. 예를 들어, CREATE FUNCTION 문에서 반환 유형을 생략할 수 있습니다.""]",'type' 필드는 명시적으로 지정되지 않은 경우에 생략될 수 있습니다.,single_hop_specific_query_synthesizer
BUCKET_NAME 뭐에요?,"['Q: ExportDocuments 메서드를 호출할 때, 어떤 형식의 URI를 출력 URI로 지정해야 하나요?\nA: ExportDocuments 메서드를 호출할 때, 출력 URI(output_uri_prefix)는 Google Cloud Storage URI 형식이어야 하며, 다음과 같은 형식을 따라야 합니다: gs://BUCKET_NAME[/NAMESPACE_PATH]. 여기서 BUCKET_NAME은 Google Cloud Storage 버킷의 이름이고, NAMESPACE_PATH는 선택적 Google Cloud Storage 네임스페이스 경로입니다.']",BUCKET_NAME은 Google Cloud Storage 버킷의 이름입니다.,single_hop_specific_query_synthesizer
Google OAuth 2.0 서버에 요청을 전송할 때 어떤 엔드포인트를 사용해야 하나요?,"['Q: Google의 OAuth 2.0 서버에 요청을 전송하는 방법은 무엇인가요?\nA: 사용자 승인을 받으려면 https://accounts.google.com/o/oauth2/v2/auth에서 Google 승인 서버에 요청을 전송하세요. 이 엔드포인트는 활성 세션 조회를 처리하고, 사용자를 인증하고, 사용자 동의를 획득합니다. 엔드포인트는 SSL을 통해서만 액세스할 수 있으며 HTTP (비 SSL) 연결은 거부합니다.']",Google OAuth 2.0 서버에 요청을 전송하려면 https://accounts.google.com/o/oauth2/v2/auth 엔드포인트를 사용해야 합니다.,single_hop_specific_query_synthesizer
peopleService 쓰면 연락처 삭제 어떻게 해요?,"['Q: 기존 연락처를 삭제하기 위한 Python 코드 예시는 무엇인가요?\nA: 기존 연락처를 삭제하기 위한 Python 코드는 다음과 같습니다.\n```python\npeopleService.people().deleteContact(""resource_name"").execute()\n```']","peopleService.people().deleteContact(""resource_name"").execute() 코드를 사용하면 기존 연락처를 삭제할 수 있습니다.",single_hop_specific_query_synthesizer
"OPEN API를 처음 사용하는 사람으로서, projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답에 포함된 Field 인스턴스에 대해 더 자세히 알고 싶습니다. Field 문서가 무엇이며, 이 문서를 참고하면 어떤 정보를 얻을 수 있는지 설명해 주실 수 있나요?",['Q: projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답은 어떤 형식인가요?\nA: 성공적인 응답 본문은 Field 인스턴스를 포함합니다. Field에 대한 자세한 내용은 [Field 문서](https://cloud.google.com/firestore/docs/reference/rest/v1/projects.databases.collectionGroups.fields#Field)를 참조하세요.'],projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답 본문에는 Field 인스턴스가 포함되어 있습니다. Field에 대한 자세한 내용은 Field 문서를 참조하실 수 있습니다. Field 문서는 Field 인스턴스에 대한 정보를 제공하는 자료입니다.,single_hop_specific_query_synthesizer
캘린더에 이벤드 공유하려면 어떤 필드 써야되나요? 캘린더에서 공유 속성 추가하는 방법 자세히 알려주세요.,['Q: 이벤트에 공유 속성을 추가하려면 어떤 필드를 사용해야 하나요?\nA: 이벤트에 공유 속성을 추가하려면 `extendedProperties.shared` 필드를 사용해야 합니다. 이 필드는 다른 참석자의 캘린더에 있는 일정 사본 간에 공유되는 속성을 포함하는 객체입니다.'],이벤트에 공유 속성을 추가하려면 `extendedProperties.shared` 필드를 사용해야 합니다. 이 필드는 다른 참석자의 캘린더에 있는 일정 사본 간에 공유되는 속성을 포함하는 객체입니다.,single_hop_specific_query_synthesizer
usercreds 비활성화 하면 응답에 usercreds 정보가 어떻게 나오는지 자세히 알려주세여 usercreds가 뭔지도 잘 모르겠어요,['Q: userCreds 비활성화 요청의 성공적인 응답은 어떤 형태인가요?\nA: userCreds 비활성화 요청이 성공하면 응답 본문에는 `UserCreds` 인스턴스가 포함됩니다. 이 인스턴스는 비활성화된 userCreds에 대한 정보를 담고 있습니다.'],userCreds 비활성화 요청이 성공하면 응답 본문에는 UserCreds 인스턴스가 포함됩니다. 이 인스턴스는 비활성화된 userCreds에 대한 정보를 담고 있습니다.,single_hop_specific_query_synthesizer
"나 Search Ads 360 API 쓰고 싶은데 광고 데이터 보려면 무슨 OAuth 2.0 범위 써야 되는지 잘 모르겠어요, 알려줄 수 있나요?",['Q: Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/doubleclicksearch입니다.'],Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/doubleclicksearch입니다.,single_hop_specific_query_synthesizer
