user_input,retrieved_contexts,response,reference,context_recall,faithfulness,factual_correctness(mode=f1)
Firestore에서 백업 정보를 조회하려면 어떤 권한이 필요한가요?,"['Q: Firestore에서 백업 정보를 조회하기 위해 필요한 권한은 무엇인가요?\nA: Firestore에서 백업 정보를 조회하기 위해 필요한 권한은 다음과 같습니다: \n- datastore.backups.get \n- datastore.backups.list', 'Q: Firestore에서 백업 정보를 읽기 위해 필요한 권한은 무엇인가요?\nA: Firestore에서 백업 정보를 읽기 위해 필요한 권한은 다음과 같습니다: \n- datastore.backups.get\n- datastore.backups.list', 'Q: Firestore에서 백업 일정을 관리하기 위해 필요한 권한은 무엇인가요?\nA: Firestore에서 백업 일정을 관리하기 위해 필요한 권한은 다음과 같습니다: \n- datastore.backupSchedules.get\n- datastore.backupSchedules.list\n- datastore.backupSchedules.create\n- datastore.backupSchedules.update\n- datastore.backupSchedules.delete\n- datastore.databases.list\n- datastore.databases.getMetadata', 'Q: 백업을 만들 때 어떤 권한이 필요한가요?\nA: 백업 및 백업 일정을 관리하기 위해서는 다음 Identity and Access Management 역할 중 하나 이상이 필요합니다. 1. roles/datastore.owner: Firestore 데이터베이스에 대한 전체 액세스 권한입니다. 2. roles/datastore.backupsAdmin: 백업에 대한 읽기 및 쓰기 액세스 권한입니다. 3. roles/datastore.backupsViewer: 백업에 대한 읽기 액세스 권한입니다. 4. roles/datastore.backupSchedulesAdmin: 백업 일정에 대한 읽기 및 쓰기 액세스 권한입니다. 5. roles/datastore.backupSchedulesViewer: 백업 일정에 대한 읽기 액세스 권한입니다. 6. roles/datastore.restoreAdmin: 복원 작업을 시작할 권한입니다.', 'Q: Firestore에서 백업을 복원하기 위해 필요한 권한은 무엇인가요?\nA: Firestore에서 백업을 복원하기 위해 필요한 권한은 다음과 같습니다: \n- datastore.backups.restoreDatabase \n- datastore.backups.get \n- datastore.backups.list \n- datastore.databases.list \n- datastore.databases.create \n- datastore.databases.getMetadata \n- datastore.operations.list \n- datastore.operations.get']","Firestore에서 백업 정보를 조회하기 위해 필요한 권한은 다음과 같습니다:

- `datastore.backups.get`
- `datastore.backups.list`",Firestore에서 백업 정보를 조회하기 위해서는 datastore.backups.get과 datastore.backups.list 권한이 필요합니다.,1.0,1.0,1.0
PHP Firestore add() 메서드 예시에서 Japan 값은 어떻게 사용되나요?,"[""Q: PHP에서 Firestore에 문서를 추가할 때 사용하는 add() 메서드의 예시는 무엇인가요?\nA: PHP에서 Firestore에 문서를 추가할 때 사용하는 add() 메서드의 예시는 다음과 같습니다.\n\n```php\n$data = [\n    'name' => 'Tokyo',\n    'country' => 'Japan'\n];\n$addedDocRef = $db->collection('samples/php/cities')->add($data);\nprintf('Added document with ID: %s' . PHP_EOL, $addedDocRef->id());\n```"", ""Q: PHP에서 Firestore에 문서를 추가할 때 사용하는 add() 메서드의 예시는 무엇인가요?\nA: PHP에서 Firestore에 문서를 추가할 때 사용하는 add() 메서드의 예시는 다음과 같습니다.\n\n```php\n$data = [\n\t'name' => 'Tokyo',\n\t'country' => 'Japan'\n];\n$addedDocRef = $db->collection('samples/php/cities')->add($data);\nprintf('Added document with ID: %s' . PHP_EOL, $addedDocRef->id());\n```"", ""Q: Cloud Firestore에서 PHP를 사용하여 문서를 추가할 때 add() 메서드를 사용하는 방법은 무엇인가요?\nA: PHP에서 Cloud Firestore에 문서를 추가할 때는 add() 메서드를 사용합니다. 예를 들어, 다음과 같이 사용할 수 있습니다:\n\n```php\n$data = [\n  'name' => 'Tokyo',\n  'country' => 'Japan'\n];\n$addedDocRef = $db->collection('samples/php/cities')->add($data);\nprintf('Added document with ID: %s' . PHP_EOL, $addedDocRef->id());\n```"", ""Q: PHP에서 Firestore에서 특정 필드 'country'가 'USA' 또는 'Japan'인 문서를 쿼리하는 방법은 무엇인가요?\nA: 다음과 같이 PHP에서 Firestore의 특정 필드 'country'가 'USA' 또는 'Japan'인 문서를 쿼리할 수 있습니다.\n\n```php\n$rangeQuery = $citiesRef->where('country', 'in', ['USA', 'Japan']);\n```"", ""Q: PHP에서 Firestore에서 특정 필드 'country'가 'USA' 또는 'Japan'인 문서를 쿼리하는 방법은 무엇인가요?\nA: 다음과 같이 쿼리를 작성할 수 있습니다:\n\n```php\n$rangeQuery = $citiesRef->where('country', 'in', ['USA', 'Japan']);\n```""]","PHP에서 Firestore에 문서를 추가할 때 사용하는 `add()` 메서드의 예시에서 'Japan' 값은 문서의 필드 값으로 사용됩니다. 예를 들어, 아래와 같은 코드에서 'Japan'은 'country' 필드의 값으로 설정됩니다:

```php
$data = [
    'name' => 'Tokyo',
    'country' => 'Japan'
];
$addedDocRef = $db->collection('samples/php/cities')->add($data);
printf('Added document with ID: %s' . PHP_EOL, $addedDocRef->id());
```

여기서 'country' 필드에 'Japan'이라는 값이 할당되어 Firestore에 저장됩니다.",PHP Firestore add() 메서드 예시에서 Japan 값은 country 필드의 값으로 사용됩니다.,1.0,1.0,0.67
type 필드 언제 생략대요?,"[""Q: StandardSqlField에서 'type' 필드가 생략될 수 있는 경우는 어떤 경우인가요?\nA: 'type' 필드는 명시적으로 지정되지 않은 경우에 생략될 수 있습니다. 예를 들어, CREATE FUNCTION 문에서 반환 유형을 생략할 수 있습니다."", ""Q: StandardSqlField의 'type' 필드는 무엇을 나타내나요?\nA: 'type' 필드는 이 매개변수의 유형을 나타내며, 선택적입니다. 명시적으로 지정되지 않은 경우에는 생략될 수 있습니다. 예를 들어, CREATE FUNCTION 문에서는 반환 유형을 생략할 수 있으며, 이 경우 출력 매개변수는 'type' 필드를 가지지 않습니다."", 'Q: 단일 필드 예외를 추가해야 하는 경우는 어떤 경우인가요?\nA: 단일 필드 예외를 추가해야 하는 경우는 다음과 같습니다: 큰 문자열 필드가 쿼리에 사용되지 않는 경우, 순차 값이 있는 문서를 포함하는 컬렉션에 대한 높은 쓰기 속도가 발생하는 경우, TTL 필드를 사용하는 경우, 큰 배열 또는 맵 필드를 기준으로 쿼리하지 않는 경우입니다.', 'Q: 단일 필드 예외를 추가해야 하는 경우는 어떤 경우인가요?\nA: 단일 필드 예외는 다음과 같은 경우에 추가할 수 있습니다: 큰 문자열 필드, 순차 값이 있는 문서를 포함하는 컬렉션에 대한 높은 쓰기 속도, TTL 필드, 큰 배열 또는 맵 필드가 있는 경우입니다.', 'Q: Cloud Firestore에서 색인 생성 시 단조롭게 증가/감소하는 필드를 제외하는 방법은 무엇인가요?\nA: 순차 값이 있는 필드를 기준으로 쿼리하지 않는 경우 색인 생성에서 이 필드를 제외하여 이 한도를 우회할 수 있습니다.']","StandardSqlField의 'type' 필드는 명시적으로 지정되지 않은 경우에 생략될 수 있습니다. 예를 들어, CREATE FUNCTION 문에서 반환 유형을 생략할 수 있으며, 이 경우 출력 매개변수는 'type' 필드를 가지지 않습니다.",'type' 필드는 명시적으로 지정되지 않은 경우에 생략될 수 있습니다.,1.0,1.0,0.5
BUCKET_NAME 뭐에요?,"['Q: GetBackupSchedule 요청에서 name 필드는 어떤 형식을 가져야 하나요?\nA: | Fields |\n| --- |\n| name | string Required. The name of the backup schedule. Format projects/{project}/databases/{database}/backupSchedules/{backup_schedule} |', 'Q: 백업 스케줄의 이름(name) 파라미터는 어떤 형식을 가져야 하나요?\nA: 백업 스케줄의 이름(name) 파라미터는 다음과 같은 형식을 가져야 합니다:\n```\nprojects/{project}/databases/{database}/backupSchedules/{backupSchedule}\n```\n여기서 `{project}`, `{database}`, `{backupSchedule}`은 각각 프로젝트 ID, 데이터베이스 이름, 백업 스케줄 이름을 나타냅니다.', 'Q: ExportDocumentsRequest를 사용하여 Firestore에서 문서를 내보낼 때, output_uri_prefix는 어떤 형식이어야 하나요?\nA: ExportDocumentsRequest의 output_uri_prefix는 Google Cloud Storage URI 형식이어야 하며, 형식은 gs://BUCKET_NAME[/NAMESPACE_PATH]입니다. BUCKET_NAME은 Google Cloud Storage 버킷의 이름이고, NAMESPACE_PATH는 선택적 Google Cloud Storage 네임스페이스 경로입니다.', ""Q: 피벗 테이블의 'valueBucket' 필드는 무엇을 나타내나요?\nA: valueBucket 필드는 정렬할 반대 피벗 그룹의 버킷입니다. 지정하지 않으면 이 그룹의 값을 기준으로 알파벳순으로 정렬됩니다."", ""Q: PivotGroupSortValueBucket의 'buckets' 필드는 무엇을 나타내나요?\nA: 'buckets' 필드는 정렬할 값을 선택할 버킷을 결정합니다. 예를 들어 행 그룹이 1개이고 열 그룹이 2개인 피벗 테이블에서 행 그룹은 최대 2개의 값을 표시할 수 있습니다.""]","죄송하지만, 제공된 문서에는 ""BUCKET_NAME""에 대한 구체적인 설명이 포함되어 있지 않습니다. 일반적으로 ""BUCKET_NAME""은 Google Cloud Storage에서 버킷의 이름을 나타내며, 데이터를 저장하거나 관리하기 위해 사용됩니다. 더 구체적인 정보가 필요하시면 Google Cloud Storage 문서를 참조하시기 바랍니다.",BUCKET_NAME은 Google Cloud Storage 버킷의 이름입니다.,1.0,0.5,0.4
Google OAuth 2.0 서버에 요청을 전송할 때 어떤 엔드포인트를 사용해야 하나요?,"['Q: Google의 OAuth 2.0 서버에 요청을 전송할 때 어떤 엔드포인트를 사용해야 하나요?\nA: 사용자 승인을 받으려면 https://accounts.google.com/o/oauth2/v2/auth에서 Google 승인 서버에 요청을 전송하세요. 이 엔드포인트는 활성 세션 조회를 처리하고, 사용자를 인증하고, 사용자 동의를 획득합니다. 엔드포인트는 SSL을 통해서만 액세스할 수 있으며 HTTP (비 SSL) 연결은 거부합니다.', 'Q: Google의 OAuth 2.0 서버에 요청을 전송할 때 어떤 엔드포인트를 사용해야 하나요?\nA: 사용자 승인을 받으려면 https://accounts.google.com/o/oauth2/v2/auth에서 Google 승인 서버에 요청을 전송해야 합니다. 이 엔드포인트는 활성 세션 조회를 처리하고, 사용자를 인증하고, 사용자 동의를 획득합니다. 엔드포인트는 SSL을 통해서만 액세스할 수 있으며 HTTP (비 SSL) 연결은 거부됩니다.', 'Q: Google의 OAuth 2.0 서버에 요청을 전송하는 방법은 무엇인가요?\nA: 사용자 승인을 받으려면 https://accounts.google.com/o/oauth2/v2/auth에서 Google 승인 서버에 요청을 전송하세요. 이 엔드포인트는 활성 세션 조회를 처리하고, 사용자를 인증하고, 사용자 동의를 획득합니다. 엔드포인트는 SSL을 통해서만 액세스할 수 있으며 HTTP (비 SSL) 연결은 거부합니다.', 'Q: Google OAuth 2.0 엔드포인트에 요청할 때 필수로 포함해야 하는 매개변수는 무엇인가요?\nA: Google OAuth 2.0 엔드포인트에 요청할 때 필수로 포함해야 하는 매개변수는 client_id, redirect_uri, response_type, scope입니다.', 'Q: OAuth 2.0 엔드포인트에 액세스를 요청하는 URL을 어떻게 생성하나요?\nA: OAuth 2.0 엔드포인트에 액세스를 요청하는 URL은 다음과 같이 생성합니다:\n\n```\nhttps://accounts.google.com/o/oauth2/v2/auth\n```\n이 엔드포인트는 HTTPS를 통해 액세스할 수 있으며 일반 HTTP 연결은 거부됩니다.']","Google OAuth 2.0 서버에 요청을 전송할 때는 사용자 승인을 받기 위해 다음의 엔드포인트를 사용해야 합니다: 

```
https://accounts.google.com/o/oauth2/v2/auth
```

이 엔드포인트는 활성 세션 조회를 처리하고, 사용자를 인증하며, 사용자 동의를 획득합니다. 또한, 이 엔드포인트는 SSL을 통해서만 액세스할 수 있으며, HTTP(비 SSL) 연결은 거부됩니다.",Google OAuth 2.0 서버에 요청을 전송하려면 https://accounts.google.com/o/oauth2/v2/auth 엔드포인트를 사용해야 합니다.,1.0,1.0,0.44
peopleService 쓰면 연락처 삭제 어떻게 해요?,"['Q: Contacts API에서 연락처를 삭제하는 방법은 무엇인가요?\nA: 연락처를 삭제하기 위해서는 `people.deleteContact` 메서드를 사용해야 합니다. 자세한 내용은 [여기](https://developers.google.com/people/api/rest/v1/people/deleteContact?hl=ko)를 참고하세요.', 'Q: people.deleteContact 메서드를 사용하여 연락처를 삭제하는 방법은 무엇인가요?\nA: 연락처를 삭제하려면 다음과 같은 HTTP DELETE 요청을 사용합니다:\n\n```\nDELETE https://people.googleapis.com/v1/{resourceName=people/*}:deleteContact\n```\n여기서 `resourceName`은 삭제할 연락처의 리소스 이름입니다.', 'Q: People API에서 연락처를 수정하고 영구 삭제하기 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: 연락처를 수정하고 영구 삭제하기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/contacts입니다.', 'Q: 기존 연락처를 삭제하기 위한 프로토콜 요청은 어떻게 구성하나요?\nA: --- 탭: 프로토콜 [https://developers.google.com/people/v1/contacts?hl=ko#%ED%94%84%EB%A1%9C%ED%86%A0%EC%BD%9C] ---\nDELETE /v1/resource_name:deleteContact HTTP/1.1\nHost: people.googleapis.com', 'Q: 기존 연락처를 일괄 삭제하기 위한 프로토콜 요청은 어떻게 구성하나요?\nA: 기존 연락처를 일괄 삭제하려면 다음과 같은 프로토콜 요청을 사용합니다.\n\n```http\nPOST /v1/people:batchDeleteContacts HTTP/1.1\nBody: {""resource_names"": [""resource_name""]}\nHost: people.googleapis.com\n```']","연락처를 삭제하기 위해서는 `people.deleteContact` 메서드를 사용해야 합니다. 이를 위해 다음과 같은 HTTP DELETE 요청을 사용합니다:

```
DELETE https://people.googleapis.com/v1/{resourceName=people/*}:deleteContact
```

여기서 `resourceName`은 삭제할 연락처의 리소스 이름입니다. 추가로, 연락처를 수정하고 영구 삭제하기 위해 필요한 OAuth 2.0 범위는 `https://www.googleapis.com/auth/contacts`입니다.","peopleService.people().deleteContact(""resource_name"").execute() 코드를 사용하면 기존 연락처를 삭제할 수 있습니다.",1.0,1.0,0.5
"OPEN API를 처음 사용하는 사람으로서, projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답에 포함된 Field 인스턴스에 대해 더 자세히 알고 싶습니다. Field 문서가 무엇이며, 이 문서를 참고하면 어떤 정보를 얻을 수 있는지 설명해 주실 수 있나요?","['Q: projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답은 어떤 형식인가요?\nA: 성공적인 응답 본문은 Field 인스턴스를 포함합니다. Field에 대한 자세한 내용은 [Field 문서](https://cloud.google.com/firestore/docs/reference/rest/v1/projects.databases.collectionGroups.fields#Field)를 참조하세요.', 'Q: projects.databases.collectionGroups.fields.get 메서드가 성공적으로 호출되었을 때 응답 본문에는 어떤 정보가 포함되나요?\nA: 성공적으로 호출되면 응답 본문에는 Field 인스턴스가 포함됩니다.', 'Q: projects.databases.collectionGroups.indexes.get 메서드의 성공적인 응답은 어떤 형태인가요?\nA: 성공적인 응답의 본문은 Index 인스턴스를 포함합니다. 이 인스턴스는 복합 인덱스에 대한 정보를 담고 있습니다.', 'Q: projects.databases.get 메서드의 성공적인 응답은 어떤 형식인가요?\nA: 성공적인 응답의 본문은 `Database` 인스턴스를 포함합니다. 이 인스턴스는 데이터베이스에 대한 정보를 담고 있습니다.', 'Q: projects.databases.collectionGroups.indexes.get 메서드의 응답 본문에는 어떤 정보가 포함되나요?\nA: 성공적으로 요청이 처리되면 응답 본문에는 Index 인스턴스가 포함됩니다.']","projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답에는 Field 인스턴스가 포함됩니다. Field 인스턴스에 대한 자세한 정보는 [Field 문서](https://cloud.google.com/firestore/docs/reference/rest/v1/projects.databases.collectionGroups.fields#Field)를 참고하실 수 있습니다. 이 문서를 통해 Field 인스턴스의 구조, 속성, 그리고 각 속성이 어떤 의미를 가지는지에 대한 정보를 얻을 수 있습니다. Field 문서는 Firestore에서 필드의 설정 및 구성을 이해하는 데 도움이 됩니다.",projects.databases.collectionGroups.fields.get 메서드의 성공적인 응답 본문에는 Field 인스턴스가 포함되어 있습니다. Field에 대한 자세한 내용은 Field 문서를 참조하실 수 있습니다. Field 문서는 Field 인스턴스에 대한 정보를 제공하는 자료입니다.,0.6666666666666666,0.42857142857142855,0.67
캘린더에 이벤드 공유하려면 어떤 필드 써야되나요? 캘린더에서 공유 속성 추가하는 방법 자세히 알려주세요.,"['Q: 이벤트에 공유 속성을 추가하려면 어떤 필드를 사용해야 하나요?\nA: 이벤트에 공유 속성을 추가하려면 `extendedProperties.shared` 필드를 사용해야 합니다. 이 필드는 다른 참석자의 캘린더에 있는 일정 사본 간에 공유되는 속성을 포함하는 객체입니다.', 'Q: 보조 캘린더를 생성하는 방법은 무엇인가요?\nA: 보조 캘린더를 생성하려면 `insert` 메서드([https://developers.google.com/workspace/calendar/api/v3/reference/calendars/insert?hl=ko](https://developers.google.com/workspace/calendar/api/v3/reference/calendars/insert?hl=ko))를 사용해야 합니다.', 'Q: 이벤트의 확장 속성을 설정할 때 어떤 필드를 사용해야 하나요?\nA: 이벤트의 확장 속성은 extendedProperties 객체를 사용하여 설정할 수 있습니다. 이 객체에는 비공개 속성(extendedProperties.private)과 공유 속성(extendedProperties.shared)을 포함할 수 있습니다.', ""Q: 캘린더의 알림을 추가할 때 필요한 필드는 무엇인가요?\nA: 캘린더의 알림(defaultReminders)을 추가할 때는 method와 minutes 필드가 필요합니다. method는 알림에서 사용하는 방법으로 'email' 또는 'popup' 중 하나를 선택할 수 있으며, minutes는 일정이 시작되기 전까지 알림이 트리거되어야 하는 시간(분)입니다."", ""Q: 캘린더의 알림 설정을 추가할 때 필요한 속성은 무엇인가요?\nA: 캘린더의 알림 설정을 추가할 때는 다음과 같은 속성이 필요합니다: \n- notificationSettings.notifications[].method: 알림을 전송하는 데 사용되는 방법으로, 가능한 값은 'email'입니다. \n- notificationSettings.notifications[].type: 알림의 유형으로, 가능한 값은 'eventCreation', 'eventChange', 'eventCancellation', 'eventResponse', 'agenda'입니다.""]","캘린더 이벤트에 공유 속성을 추가하려면 `extendedProperties.shared` 필드를 사용해야 합니다. 이 필드는 다른 참석자의 캘린더에 있는 일정 사본 간에 공유되는 속성을 포함하는 객체입니다. `extendedProperties` 객체는 이벤트의 확장 속성을 설정할 때 사용되며, 비공개 속성(`extendedProperties.private`)과 공유 속성(`extendedProperties.shared`)을 포함할 수 있습니다.",이벤트에 공유 속성을 추가하려면 `extendedProperties.shared` 필드를 사용해야 합니다. 이 필드는 다른 참석자의 캘린더에 있는 일정 사본 간에 공유되는 속성을 포함하는 객체입니다.,1.0,1.0,0.67
usercreds 비활성화 하면 응답에 usercreds 정보가 어떻게 나오는지 자세히 알려주세여 usercreds가 뭔지도 잘 모르겠어요,"['Q: user creds 비활성화 요청의 성공적인 응답은 어떤 형태인가요?\nA: user creds 비활성화 요청이 성공하면 응답 본문에는 `UserCreds` 인스턴스가 포함됩니다. 이 인스턴스는 비활성화된 user creds에 대한 정보를 담고 있습니다.', 'Q: userCreds 비활성화 요청의 성공적인 응답은 어떤 형태인가요?\nA: userCreds 비활성화 요청이 성공하면 응답 본문에는 `UserCreds` 인스턴스가 포함됩니다. 이 인스턴스는 비활성화된 userCreds에 대한 정보를 담고 있습니다.', 'Q: user creds를 비활성화하는 API 요청을 어떻게 작성하나요?\nA: user creds를 비활성화하기 위해서는 다음과 같은 HTTP POST 요청을 사용합니다:\n\n```\nPOST https://firestore.googleapis.com/v1/{name=projects/*/databases/*/userCreds/*}:disable\n```\n여기서 `{name}`은 `projects/{projectId}/databases/{databaseId}/userCreds/{userCredsId}` 형식의 문자열입니다.', 'Q: userCreds를 비활성화하는 API 요청을 어떻게 작성하나요?\nA: userCreds를 비활성화하기 위해서는 다음과 같은 HTTP POST 요청을 사용합니다:\n\n```\nPOST https://firestore.googleapis.com/v1/{name=projects/*/databases/*/userCreds/*}:disable\n```\n여기서 `{name}`은 `projects/{projectId}/databases/{databaseId}/userCreds/{userCredsId}` 형식의 문자열입니다.', 'Q: Firestore에서 사용자 자격 증명을 비활성화하기 위한 요청은 어떻게 구성하나요?\nA: FirestoreAdmin.DisableUserCreds 요청은 다음과 같이 구성됩니다. 필드는 name이 있으며, 비활성화할 사용자 자격 증명의 이름은 형식이 projects/{project_id}/databases/{database_id}/userCreds/{user_creds_id}입니다.\n\n```json\n{\n  ""name"": ""projects/{project_id}/databases/{database_id}/userCreds/{user_creds_id}""\n}\n```']","userCreds를 비활성화하는 요청이 성공하면, 응답 본문에는 `UserCreds` 인스턴스가 포함됩니다. 이 인스턴스는 비활성화된 userCreds에 대한 정보를 담고 있습니다. 

userCreds는 Firestore에서 사용자 자격 증명을 관리하는 데 사용되는 개념입니다. 특정 프로젝트와 데이터베이스 내에서 사용자 자격 증명을 식별하고 관리하기 위한 식별자 역할을 합니다. 비활성화된 userCreds는 더 이상 활성 상태가 아니며, 해당 자격 증명을 사용하는 작업이 제한될 수 있습니다. 

이해를 돕기 위해 userCreds를 비활성화하는 API 요청은 다음과 같은 형식으로 작성됩니다:

```
POST https://firestore.googleapis.com/v1/{name=projects/*/databases/*/userCreds/*}:disable
```

여기서 `{name}`은 `projects/{projectId}/databases/{databaseId}/userCreds/{userCredsId}` 형식의 문자열입니다.",userCreds 비활성화 요청이 성공하면 응답 본문에는 UserCreds 인스턴스가 포함됩니다. 이 인스턴스는 비활성화된 userCreds에 대한 정보를 담고 있습니다.,1.0,0.5555555555555556,0.44
"나 Search Ads 360 API 쓰고 싶은데 광고 데이터 보려면 무슨 OAuth 2.0 범위 써야 되는지 잘 모르겠어요, 알려줄 수 있나요?","['Q: Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/doubleclicksearch입니다.', 'Q: Google Search Console API에서 확인된 사이트의 Search Console 데이터 보기 및 관리를 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: Google Search Console API에서 확인된 사이트의 Search Console 데이터 보기 및 관리를 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/webmasters입니다.', 'Q: Google Search Console API에서 확인된 사이트의 데이터 관리를 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: 확인된 사이트의 Search Console 데이터 보기 및 관리를 위해 필요한 OAuth 2.0 범위는 `https://www.googleapis.com/auth/webmasters`입니다.', 'Q: Display & Video 360 API에서 캠페인 항목을 생성하고 조회하기 위한 OAuth 2.0 범위는 무엇인가요?\nA: Display & Video 360 API에서 캠페인 항목을 생성하고 조회하기 위한 OAuth 2.0 범위는 https://www.googleapis.com/auth/display-video-mediaplanning입니다.', 'Q: Google 애널리틱스 데이터 API에서 데이터를 보기 위해 필요한 OAuth 2.0 범위는 무엇인가요?\nA: Google 애널리틱스 데이터 API에서 데이터를 보기 위해 필요한 OAuth 2.0 범위는 `https://www.googleapis.com/auth/analytics.readonly`입니다.']",Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 `https://www.googleapis.com/auth/doubleclicksearch`입니다.,Search Ads 360 API에서 광고 데이터를 보기 위해 필요한 OAuth 2.0 범위는 https://www.googleapis.com/auth/doubleclicksearch입니다.,1.0,1.0,1.0
